run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20220604-19:20:44-179507,runattr,,,configname,General,,
General-0-20220604-19:20:44-179507,runattr,,,datetime,20220604-19:20:44,,
General-0-20220604-19:20:44-179507,runattr,,,datetimef,20220604-192044,,
General-0-20220604-19:20:44-179507,runattr,,,experiment,General,,
General-0-20220604-19:20:44-179507,runattr,,,inifile,omnetpp.ini,,
General-0-20220604-19:20:44-179507,runattr,,,iterationvars,,,
General-0-20220604-19:20:44-179507,runattr,,,iterationvarsd,,,
General-0-20220604-19:20:44-179507,runattr,,,iterationvarsf,,,
General-0-20220604-19:20:44-179507,runattr,,,measurement,,,
General-0-20220604-19:20:44-179507,runattr,,,network,Network,,
General-0-20220604-19:20:44-179507,runattr,,,processid,179507,,
General-0-20220604-19:20:44-179507,runattr,,,repetition,0,,
General-0-20220604-19:20:44-179507,runattr,,,replication,#0,,
General-0-20220604-19:20:44-179507,runattr,,,resultdir,results,,
General-0-20220604-19:20:44-179507,runattr,,,runnumber,0,,
General-0-20220604-19:20:44-179507,runattr,,,seedset,0,,
General-0-20220604-19:20:44-179507,config,,,network,Network,,
General-0-20220604-19:20:44-179507,config,,,sim-time-limit,200s,,
General-0-20220604-19:20:44-179507,config,,,"Network.node[{0,1,2,3,4,6,7,8}].app.interArrivalTime",exponential(6),,
General-0-20220604-19:20:44-179507,config,,,"Network.node[{0,1,2,3,4,6,7,8}].app.packetByteSize",125000,,
General-0-20220604-19:20:44-179507,config,,,"Network.node[{0,1,2,3,4,6,7,8}].app.destination",5,,
