run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20220604-19:19:04-179114,runattr,,,configname,General,,
General-0-20220604-19:19:04-179114,runattr,,,datetime,20220604-19:19:04,,
General-0-20220604-19:19:04-179114,runattr,,,datetimef,20220604-191904,,
General-0-20220604-19:19:04-179114,runattr,,,experiment,General,,
General-0-20220604-19:19:04-179114,runattr,,,inifile,omnetpp.ini,,
General-0-20220604-19:19:04-179114,runattr,,,iterationvars,,,
General-0-20220604-19:19:04-179114,runattr,,,iterationvarsd,,,
General-0-20220604-19:19:04-179114,runattr,,,iterationvarsf,,,
General-0-20220604-19:19:04-179114,runattr,,,measurement,,,
General-0-20220604-19:19:04-179114,runattr,,,network,Network,,
General-0-20220604-19:19:04-179114,runattr,,,processid,179114,,
General-0-20220604-19:19:04-179114,runattr,,,repetition,0,,
General-0-20220604-19:19:04-179114,runattr,,,replication,#0,,
General-0-20220604-19:19:04-179114,runattr,,,resultdir,results,,
General-0-20220604-19:19:04-179114,runattr,,,runnumber,0,,
General-0-20220604-19:19:04-179114,runattr,,,seedset,0,,
General-0-20220604-19:19:04-179114,config,,,network,Network,,
General-0-20220604-19:19:04-179114,config,,,sim-time-limit,200s,,
General-0-20220604-19:19:04-179114,config,,,"Network.node[{0,1,2,3,4,6,7,8}].app.interArrivalTime",exponential(4),,
General-0-20220604-19:19:04-179114,config,,,"Network.node[{0,1,2,3,4,6,7,8}].app.packetByteSize",125000,,
General-0-20220604-19:19:04-179114,config,,,"Network.node[{0,1,2,3,4,6,7,8}].app.destination",5,,
