run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20220604-19:18:15-178897,runattr,,,configname,General,,
General-0-20220604-19:18:15-178897,runattr,,,datetime,20220604-19:18:15,,
General-0-20220604-19:18:15-178897,runattr,,,datetimef,20220604-191815,,
General-0-20220604-19:18:15-178897,runattr,,,experiment,General,,
General-0-20220604-19:18:15-178897,runattr,,,inifile,omnetpp.ini,,
General-0-20220604-19:18:15-178897,runattr,,,iterationvars,,,
General-0-20220604-19:18:15-178897,runattr,,,iterationvarsd,,,
General-0-20220604-19:18:15-178897,runattr,,,iterationvarsf,,,
General-0-20220604-19:18:15-178897,runattr,,,measurement,,,
General-0-20220604-19:18:15-178897,runattr,,,network,Network,,
General-0-20220604-19:18:15-178897,runattr,,,processid,178897,,
General-0-20220604-19:18:15-178897,runattr,,,repetition,0,,
General-0-20220604-19:18:15-178897,runattr,,,replication,#0,,
General-0-20220604-19:18:15-178897,runattr,,,resultdir,results,,
General-0-20220604-19:18:15-178897,runattr,,,runnumber,0,,
General-0-20220604-19:18:15-178897,runattr,,,seedset,0,,
General-0-20220604-19:18:15-178897,config,,,network,Network,,
General-0-20220604-19:18:15-178897,config,,,sim-time-limit,200s,,
General-0-20220604-19:18:15-178897,config,,,"Network.node[{0,1,2,3,4,6,7,8}].app.interArrivalTime",exponential(3),,
General-0-20220604-19:18:15-178897,config,,,"Network.node[{0,1,2,3,4,6,7,8}].app.packetByteSize",125000,,
General-0-20220604-19:18:15-178897,config,,,"Network.node[{0,1,2,3,4,6,7,8}].app.destination",5,,
