run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20220604-19:19:54-179294,runattr,,,configname,General,,
General-0-20220604-19:19:54-179294,runattr,,,datetime,20220604-19:19:54,,
General-0-20220604-19:19:54-179294,runattr,,,datetimef,20220604-191954,,
General-0-20220604-19:19:54-179294,runattr,,,experiment,General,,
General-0-20220604-19:19:54-179294,runattr,,,inifile,omnetpp.ini,,
General-0-20220604-19:19:54-179294,runattr,,,iterationvars,,,
General-0-20220604-19:19:54-179294,runattr,,,iterationvarsd,,,
General-0-20220604-19:19:54-179294,runattr,,,iterationvarsf,,,
General-0-20220604-19:19:54-179294,runattr,,,measurement,,,
General-0-20220604-19:19:54-179294,runattr,,,network,Network,,
General-0-20220604-19:19:54-179294,runattr,,,processid,179294,,
General-0-20220604-19:19:54-179294,runattr,,,repetition,0,,
General-0-20220604-19:19:54-179294,runattr,,,replication,#0,,
General-0-20220604-19:19:54-179294,runattr,,,resultdir,results,,
General-0-20220604-19:19:54-179294,runattr,,,runnumber,0,,
General-0-20220604-19:19:54-179294,runattr,,,seedset,0,,
General-0-20220604-19:19:54-179294,config,,,network,Network,,
General-0-20220604-19:19:54-179294,config,,,sim-time-limit,200s,,
General-0-20220604-19:19:54-179294,config,,,"Network.node[{0,1,2,3,4,6,7,8}].app.interArrivalTime",exponential(5),,
General-0-20220604-19:19:54-179294,config,,,"Network.node[{0,1,2,3,4,6,7,8}].app.packetByteSize",125000,,
General-0-20220604-19:19:54-179294,config,,,"Network.node[{0,1,2,3,4,6,7,8}].app.destination",5,,
