run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20220604-19:22:21-179951,runattr,,,configname,General,,
General-0-20220604-19:22:21-179951,runattr,,,datetime,20220604-19:22:21,,
General-0-20220604-19:22:21-179951,runattr,,,datetimef,20220604-192221,,
General-0-20220604-19:22:21-179951,runattr,,,experiment,General,,
General-0-20220604-19:22:21-179951,runattr,,,inifile,omnetpp.ini,,
General-0-20220604-19:22:21-179951,runattr,,,iterationvars,,,
General-0-20220604-19:22:21-179951,runattr,,,iterationvarsd,,,
General-0-20220604-19:22:21-179951,runattr,,,iterationvarsf,,,
General-0-20220604-19:22:21-179951,runattr,,,measurement,,,
General-0-20220604-19:22:21-179951,runattr,,,network,Network,,
General-0-20220604-19:22:21-179951,runattr,,,processid,179951,,
General-0-20220604-19:22:21-179951,runattr,,,repetition,0,,
General-0-20220604-19:22:21-179951,runattr,,,replication,#0,,
General-0-20220604-19:22:21-179951,runattr,,,resultdir,results,,
General-0-20220604-19:22:21-179951,runattr,,,runnumber,0,,
General-0-20220604-19:22:21-179951,runattr,,,seedset,0,,
General-0-20220604-19:22:21-179951,config,,,network,Network,,
General-0-20220604-19:22:21-179951,config,,,sim-time-limit,200s,,
General-0-20220604-19:22:21-179951,config,,,"Network.node[{0,1,2,3,4,6,7,8}].app.interArrivalTime",exponential(8),,
General-0-20220604-19:22:21-179951,config,,,"Network.node[{0,1,2,3,4,6,7,8}].app.packetByteSize",125000,,
General-0-20220604-19:22:21-179951,config,,,"Network.node[{0,1,2,3,4,6,7,8}].app.destination",5,,
General-0-20220604-19:22:21-179951,vector,Network.node[7].lnk[0],Buffer Size,,,"2.8252731131 2.8252731131 8.188583107872 8.188583107872 10.735432234606 10.735432234606 12.816551411147 12.816551411147 15.931003020613 15.931003020613 16.931003020613 16.931003020613 17.931003020613 17.931003020613 18.931003020613 18.931003020613 19.931003020613 19.931003020613 20.613468489391 20.931003020613 21.952395927115 21.952395927115 24.263172971391 24.263172971391 25.328125510278 25.328125510278 26.328125510278 26.328125510278 28.254149043518 28.254149043518 29.254149043518 29.254149043518 30.254149043518 30.254149043518 31.254149043518 31.254149043518 32.254149043518 32.254149043518 33.254149043518 33.254149043518 34.254149043518 34.254149043518 36.419350041315 36.419350041315 37.419350041315 37.419350041315 41.399501176183 41.399501176183 43.510133631449 43.510133631449 45.849489275047 45.849489275047 48.643807012874 48.643807012874 52.938186837277 52.938186837277 53.938186837277 53.938186837277 54.311517775324 54.938186837277 55.456082728604 55.938186837277 56.463078004109 56.938186837277 57.700915448109 57.938186837277 58.700915448109 58.938186837277 61.290087335661 61.290087335661 62.68275422357 62.68275422357 63.867592715847 63.867592715847 64.867592715847 64.867592715847 65.867592715847 65.867592715847 67.18112499445 67.18112499445 67.192705669708 68.18112499445 68.830751250694 69.18112499445 69.830751250694 70.18112499445 70.830751250694 71.18112499445 71.830751250694 72.065365055173 72.18112499445 72.830751250694 73.18112499445 73.830751250694 74.18112499445 74.830751250694 75.18112499445 75.830751250694 76.18112499445 76.830751250694 77.18112499445 77.830751250694 78.18112499445 78.830751250694 79.18112499445 79.756412567699 79.830751250694 80.18112499445 81.151270285009 81.18112499445 82.18112499445 83.18112499445 83.257508772561 84.18112499445 84.295781081001 85.18112499445 85.314457402916 86.18112499445 86.314457402916 87.18112499445 87.314457402916 88.18112499445 88.878605363326 88.917524205299 89.18112499445 90.18112499445 90.434377301397 91.18112499445 91.434377301397 92.18112499445 92.434377301397 93.18112499445 93.434377301397 94.18112499445 95.502101295212 95.502101295212 97.708823945707 97.708823945707 99.598477594369 99.598477594369 100.362410800876 100.598477594369 101.888815766275 101.888815766275 102.63017330863 102.888815766275 103.388224294418 103.888815766275 104.388224294418 104.888815766275 105.388224294418 105.775073767063 105.888815766275 106.388224294418 106.888815766275 107.489413856881 107.888815766275 108.489413856881 108.888815766275 109.489413856881 109.888815766275 110.888815766275 111.142303208931 111.888815766275 112.421473594638 112.888815766275 113.421473594638 113.888815766275 114.421473594638 114.888815766275 115.421473594638 115.888815766275 116.421473594638 116.888815766275 117.421473594638 117.888815766275 119.769498906967 119.769498906967 121.745165766705 121.745165766705 123.668949283535 123.668949283535 124.668949283535 124.668949283535 125.668949283535 125.668949283535 126.744825735973 126.744825735973 127.949466700201 127.949466700201 129.105342680772 129.105342680772 130.105342680772 130.105342680772 131.105342680772 131.105342680772 132.105342680772 132.105342680772 133.105342680772 133.105342680772 134.105342680772 134.105342680772 135.105342680772 135.105342680772 136.544139354407 136.544139354407 137.733837508424 137.733837508424 138.733837508424 138.733837508424 139.733837508424 139.733837508424 140.733837508424 140.733837508424 141.411048536471 141.733837508424 143.164993942404 143.164993942404 144.164993942404 144.164993942404 145.164993942404 145.164993942404 146.612820994719 146.612820994719 148.660738232503 148.660738232503 149.660738232503 149.660738232503 151.8922850953 151.8922850953 152.8922850953 152.8922850953 155.571335920751 155.571335920751 155.969599890746 156.571335920751 157.304826524487 157.571335920751 160.630028691917 160.630028691917 161.670268637412 161.670268637412 168.057856667128 168.057856667128 169.057856667128 169.057856667128 170.717138594838 170.717138594838 171.741592717328 171.741592717328 172.424230814631 172.741592717328 174.551001432379 174.551001432379 175.562110523782 175.562110523782 178.05772341373 178.05772341373 179.05772341373 179.05772341373 181.75921902702 181.75921902702 181.884536771976 182.75921902702 182.884536771976 183.75921902702 183.884536771976 184.75921902702 184.884536771976 185.75921902702 187.400244800519 187.400244800519 188.447999282782 188.447999282782 189.56554124926 189.56554124926 192.032859970043 192.032859970043 193.803595785009 193.803595785009 194.137982780519 194.803595785009 195.051620989743 195.803595785009 196.051620989743 196.803595785009 199.729667388585 199.729667388585","1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 3 2 3 2 1 0 1 0 1 0 1 0 1 0 1 0 1 2 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 2 1 2 1 2 1 2 1 2 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0"
