run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20220617-22:22:27-84650,runattr,,,configname,General,,
General-0-20220617-22:22:27-84650,runattr,,,datetime,20220617-22:22:27,,
General-0-20220617-22:22:27-84650,runattr,,,datetimef,20220617-222227,,
General-0-20220617-22:22:27-84650,runattr,,,experiment,General,,
General-0-20220617-22:22:27-84650,runattr,,,inifile,omnetpp.ini,,
General-0-20220617-22:22:27-84650,runattr,,,iterationvars,,,
General-0-20220617-22:22:27-84650,runattr,,,iterationvarsd,,,
General-0-20220617-22:22:27-84650,runattr,,,iterationvarsf,,,
General-0-20220617-22:22:27-84650,runattr,,,measurement,,,
General-0-20220617-22:22:27-84650,runattr,,,network,Network,,
General-0-20220617-22:22:27-84650,runattr,,,processid,84650,,
General-0-20220617-22:22:27-84650,runattr,,,repetition,0,,
General-0-20220617-22:22:27-84650,runattr,,,replication,#0,,
General-0-20220617-22:22:27-84650,runattr,,,resultdir,results,,
General-0-20220617-22:22:27-84650,runattr,,,runnumber,0,,
General-0-20220617-22:22:27-84650,runattr,,,seedset,0,,
General-0-20220617-22:22:27-84650,config,,,network,Network,,
General-0-20220617-22:22:27-84650,config,,,sim-time-limit,200s,,
General-0-20220617-22:22:27-84650,config,,,"Network.node[{0,1,2,3,4,6,7,8}].app.interArrivalTime",exponential(5),,
General-0-20220617-22:22:27-84650,config,,,"Network.node[{0,1,2,3,4,6,7,8}].app.packetByteSize",125000,,
General-0-20220617-22:22:27-84650,config,,,"Network.node[{0,1,2,3,4,6,7,8}].app.destination",5,,
