run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20220618-19:23:54-54902,runattr,,,configname,General,,
General-0-20220618-19:23:54-54902,runattr,,,datetime,20220618-19:23:54,,
General-0-20220618-19:23:54-54902,runattr,,,datetimef,20220618-192354,,
General-0-20220618-19:23:54-54902,runattr,,,experiment,General,,
General-0-20220618-19:23:54-54902,runattr,,,inifile,omnetpp.ini,,
General-0-20220618-19:23:54-54902,runattr,,,iterationvars,,,
General-0-20220618-19:23:54-54902,runattr,,,iterationvarsd,,,
General-0-20220618-19:23:54-54902,runattr,,,iterationvarsf,,,
General-0-20220618-19:23:54-54902,runattr,,,measurement,,,
General-0-20220618-19:23:54-54902,runattr,,,network,Network,,
General-0-20220618-19:23:54-54902,runattr,,,processid,54902,,
General-0-20220618-19:23:54-54902,runattr,,,repetition,0,,
General-0-20220618-19:23:54-54902,runattr,,,replication,#0,,
General-0-20220618-19:23:54-54902,runattr,,,resultdir,results,,
General-0-20220618-19:23:54-54902,runattr,,,runnumber,0,,
General-0-20220618-19:23:54-54902,runattr,,,seedset,0,,
General-0-20220618-19:23:54-54902,config,,,network,Network,,
General-0-20220618-19:23:54-54902,config,,,sim-time-limit,200s,,
General-0-20220618-19:23:54-54902,config,,,"Network.node[{0,1,2,3,4,6,7,8}].app.interArrivalTime",exponential(2),,
General-0-20220618-19:23:54-54902,config,,,"Network.node[{0,1,2,3,4,6,7,8}].app.packetByteSize",125000,,
General-0-20220618-19:23:54-54902,config,,,"Network.node[{0,1,2,3,4,6,7,8}].app.destination",5,,
