run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20220617-22:20:38-84300,runattr,,,configname,General,,
General-0-20220617-22:20:38-84300,runattr,,,datetime,20220617-22:20:38,,
General-0-20220617-22:20:38-84300,runattr,,,datetimef,20220617-222038,,
General-0-20220617-22:20:38-84300,runattr,,,experiment,General,,
General-0-20220617-22:20:38-84300,runattr,,,inifile,omnetpp.ini,,
General-0-20220617-22:20:38-84300,runattr,,,iterationvars,,,
General-0-20220617-22:20:38-84300,runattr,,,iterationvarsd,,,
General-0-20220617-22:20:38-84300,runattr,,,iterationvarsf,,,
General-0-20220617-22:20:38-84300,runattr,,,measurement,,,
General-0-20220617-22:20:38-84300,runattr,,,network,Network,,
General-0-20220617-22:20:38-84300,runattr,,,processid,84300,,
General-0-20220617-22:20:38-84300,runattr,,,repetition,0,,
General-0-20220617-22:20:38-84300,runattr,,,replication,#0,,
General-0-20220617-22:20:38-84300,runattr,,,resultdir,results,,
General-0-20220617-22:20:38-84300,runattr,,,runnumber,0,,
General-0-20220617-22:20:38-84300,runattr,,,seedset,0,,
General-0-20220617-22:20:38-84300,config,,,network,Network,,
General-0-20220617-22:20:38-84300,config,,,sim-time-limit,200s,,
General-0-20220617-22:20:38-84300,config,,,"Network.node[{0,1,2,3,4,6,7,8}].app.interArrivalTime",exponential(1),,
General-0-20220617-22:20:38-84300,config,,,"Network.node[{0,1,2,3,4,6,7,8}].app.packetByteSize",125000,,
General-0-20220617-22:20:38-84300,config,,,"Network.node[{0,1,2,3,4,6,7,8}].app.destination",5,,
